id,age,condition,material,diameter,length,needs_clea,needs_cipp,needs_poin,no_action,Risk
MH-1-014_MH-1-013,46,3,PVC,8,179.173524,0,0,0,1,4
MH-1-013_MH-1-012,46,3,PVC,8,234.4723279,0,0,0,1,4
MH-1-012_MH-1-011,46,3,PVC,10,14.23377977,0,0,0,1,4
MH-1-011_MH-1-010,46,1,PVC,10,207.4215592,1,0,0,0,4
MH-1-003_MH-1-002,46,3,PVC,10,163.3324745,0,0,0,1,4
MH-1-002_MH-1-001,46,3,PVC,8,28.81852195,0,0,0,1,4
MH-2-001_MH-1-001,46,1,PVC,8,258.6394799,1,0,0,0,4
MH-2-002_MH-2-001,46,1,PVC,10,364.2392192,0,1,1,0,4
MH-2-014_MH-2-002,46,1,PVC,10,375.342233,0,1,1,0,4
MH-2-015_MH-2-014,46,1,PVC,10,377.8401483,0,1,1,0,4
MH-2-016_MH-2-015,46,1,PVC,10,377.5222669,0,1,1,0,4
MH-2-017_MH-2-016,46,1,PVC,10,370.295466,0,1,1,0,4
MH-2-018_MH-2-017,46,1,PVC,10,242.5308354,0,1,1,0,4
MH-2-019_MH-2-018,46,1,PVC,10,218.3725839,0,1,1,0,4
MH-2-020_MH-2-019,46,1,PVC,10,173.916637,0,1,1,0,4
MH-2-028_MH-2-027,46,1,PVC,10,346.6982068,0,1,1,0,4
MH-2-031_MH-2-028,46,1,PVC,10,215.1098624,0,1,1,0,4
MH-2-032_MH-2-031,46,1,PVC,10,276.2670419,0,1,1,0,4
MH-2-033_MH-2-032,46,1,PVC,10,287.6335746,0,1,1,0,4
MH-1-006_MH-1-005,46,3,PVC,10,222.8077711,0,0,0,1,4
MH-1-005_MH-1-004,46,1,PVC,10,146.2814689,0,0,1,0,4
MH-1-004_MH-1-003,46,3,PVC,10,202.3178874,0,0,0,1,4
MH-1-007_MH-1-006,46,3,PVC,10,186.3770944,0,0,0,1,4
MH-1-008_MH-1-007,46,3,PVC,10,154.053369,0,0,0,1,4
MH-1-010_MH-1-009,46,3,PVC,10,111.8781933,0,0,0,1,4
MH-1-009_MH-1-008,46,3,PVC,10,181.063047,0,0,0,1,4
MH-1-016_MH-1-015,46,3,PVC,8,320.8590015,0,0,0,1,4
MH-1-015_MH-1-014,46,3,PVC,8,183.9773231,0,0,0,1,4
MH-2-027_MH-2-026,46,1,PVC,10,198.599837,0,1,1,0,4
MH-2-026_MH-2-025,46,1,PVC,10,160.9020213,0,1,1,0,4
MH-2-025_MH-2-024,46,1,PVC,10,281.619363,0,1,1,0,4
MH-2-024_MH-2-023,46,1,PVC,10,231.4543771,0,1,1,0,4
MH-2-023_MH-2-022,46,1,PVC,10,190.9485723,0,1,1,0,4
MH-2-022_MH-2-021,46,1,PVC,10,299.5904653,0,1,1,0,4
MH-2-021_MH-2-020,46,1,PVC,10,151.2584312,0,1,1,0,4
MH-2-035_MH-2-034,46,1,PVC,10,148.2932102,0,1,1,0,4
MH-2-034_MH-2-033,46,1,PVC,10,230.0239313,0,1,1,0,4
MH-1-026_MH-1-025,46,3,PVC,8,320.2460455,0,0,0,1,3
MH-1-025_MH-1-023,46,3,PVC,8,222.7960738,0,0,0,1,3
MH-6-014_MH-6-013,74,1,CP,8,413.5300359,0,1,0,0,3
MH-6-001_MH-5-001,6,6,PVC,8,322.42024,0,0,0,1,3
MH-5-053_MH-5-052,6,6,CIPP,6,20.1107401,0,0,0,1,3
MH-5-052_MH-5-051,74,1,CP,8,14.56312151,0,1,0,0,3
MH-5-059_MH-5-056,6,6,CIPP,10,136.4620466,0,0,0,1,3
MH-5-029_MH-5-028,74,2,PVC,8,32.93532173,0,0,0,1,3
MH-3-032_MH-3-031,46,1,DIP,8,109.2560395,1,0,0,0,3
MH-3-031_MH-3-030,46,3,DIP,8,62.33658762,0,0,0,1,3
MH-3-063_MH-3-062,46,3,PVC,8,18.97745672,0,0,0,1,3
MH-3-042_MH-3-041,46,1,PVC,8,251.9141438,1,0,0,0,3
MH-3-053_MH-3-052,46,1,PVC,8,116.4271539,1,0,0,0,3
MH-3-059_MH-3-053,46,1,PVC,8,32.80128638,1,0,0,0,3
MH-3-054_MH-3-053,46,3,PVC,8,188.4517616,0,0,0,1,3
MH-3-060_MH-3-059,46,1,PVC,8,300.3653967,1,0,0,0,3
MH-3-061_MH-3-060,46,1,PVC,8,371.3226015,1,0,0,0,3
MH-3-062_MH-3-061,46,3,PVC,8,120.3189531,0,0,0,1,3
MH-3-064_MH-3-062,46,3,PVC,8,370.8943792,0,0,0,1,3
MH-2-029_MH-2-028,64,2,PVC,8,108.6273426,0,0,0,1,3
MH-2-096_MH-2-095,6,6,CP,8,178.7107574,0,0,0,1,3
MH-2-095_MH-2-094,6,6,CP,8,130.1504898,0,0,0,1,3
MH-2-093_MH-2-092,6,6,CIPP,8,108.1997126,0,0,0,1,3
MH-2-087_MH-2-077,6,6,PVC,8,305.3563663,0,0,0,1,3
MH-2-057_MH-2-056,74,2,PVC,8,221.016878,0,0,0,1,3
MH-2-086_MH-2-085,6,6,CP,8,215.9602397,0,0,0,1,3
MH-2-085_MH-2-084,6,6,CP,8,385.1386769,0,0,0,1,3
MH-2-084_MH-2-083,6,6,CIPP,8,400.8405884,0,0,0,1,3
MH-2-083_MH-2-082,6,6,CP,8,148.765224,0,0,0,1,3
MH-2-082_MH-2-081,6,6,CP,8,168.9042101,0,0,0,1,3
MH-2-081_MH-2-080,6,6,CP,8,195.2607328,0,0,0,1,3
MH-2-080_MH-2-079,6,6,CP,8,393.5077007,0,0,0,1,3
MH-2-077_MH-2-076,6,6,PVC,8,226.3432034,0,0,0,1,3
MH-2-071_MH-2-070,6,6,PVC,8,285.6104388,0,0,0,1,3
MH-2-036_MH-2-035,74,2,PVC,10,104.5063391,0,0,0,1,3
MH-2-064_MH-2-063,74,2,PVC,8,111.4851703,0,0,0,1,3
MH-2-048_MH-2-047,74,1,CP,8,194.0517421,1,0,0,0,3
MH-4-016_MH-4-015,26,4,PVC,8,401.1329075,0,0,0,1,3
MH-4-035_MH-4-034,26,4,PVC,8,225.4285635,0,0,0,1,3
MH-4-036_MH-4-035,26,4,PVC,8,140.7491966,0,0,0,1,3
MH-4-051_MH-4-050,6,6,CIPP,8,129.5733715,0,0,0,1,3
MH-4-069_MH-4-068,6,6,PVC,8,403.409599,0,0,0,1,3
