Year,PipeID,Action,Cost,Priority_Score,Condition_Before
1,MH-2-033_MH-2-032,Lining,20134.35022,71.25,1
1,MH-2-050_MH-2-049,Lining,9473.913113,71.25,1
1,MH-3-048_MH-3-047,Lining,14658.11678,71.25,1
1,MH-1-011_MH-1-010,Lining,14519.50914,71.25,1
1,MH-2-002_MH-2-001,Lining,25496.74534,71.25,1
1,MH-2-014_MH-2-002,Lining,26273.95631,71.25,1
1,MH-2-015_MH-2-014,Lining,26448.81038,71.25,1
1,MH-2-016_MH-2-015,Lining,26426.55868,71.25,1
1,MH-2-019_MH-2-018,Lining,15286.08087,71.25,1
1,MH-2-020_MH-2-019,Lining,12174.16459,71.25,1
1,MH-2-028_MH-2-027,Lining,24268.87448,71.25,1
1,MH-5-052_MH-5-051,Lining,1019.418506,71.25,1
1,MH-3-053_MH-3-052,Lining,8149.900773,71.25,1
1,MH-2-008_MH-2-006,Cleaning,1939.480313,0.255636415,3.770631313
1,MH-3-037_MH-3-036,Repair,3390.721623,0.082451978,2.88264247
1,MH-3-031_MH-3-030,Repair,1870.097629,0.081653312,2.883654201
1,MH-4-079_MH-4-007,Cleaning,117.2160417,0.08024156,3.864753948
1,MH-3-039_MH-3-038,Repair,4919.097603,0.075586396,2.891409245
1,MH-3-040_MH-3-039,Repair,9560.57325,0.075230351,2.891868229
1,MH-3-062_MH-3-061,Repair,3609.568593,0.068742223,2.900308926
1,MH-3-063_MH-3-062,Repair,569.3237016,0.05515048,2.918479565
1,MH-1-002_MH-1-001,Repair,864.5556585,0.051225199,2.92385552
1,MH-1-012_MH-1-011,Repair,427.0133931,0.048892019,2.927079186
1,MH-3-009_MH-3-008,Repair,954.8835444,0.042784135,2.93562005
2,MH-2-031_MH-2-028,Lining,15057.69037,71.25,1
2,MH-1-005_MH-1-004,Lining,10239.70282,71.25,1
2,MH-2-027_MH-2-026,Lining,13901.98859,71.25,1
2,MH-2-025_MH-2-024,Lining,19713.35541,71.25,1
2,MH-2-024_MH-2-023,Lining,16201.8064,71.25,1
2,MH-2-023_MH-2-022,Lining,13366.40006,71.25,1
2,MH-2-021_MH-2-020,Lining,10588.09018,71.25,1
2,MH-2-035_MH-2-034,Lining,10380.52471,71.25,1
