Year,PipeID,Action,Cost,Priority_Score,Condition_Before
1,MH-2-033_MH-2-032,Lining,20134.350221999997,71.25000000000001,1.0
1,MH-2-050_MH-2-049,Lining,9473.913112999999,71.25000000000001,1.0
1,MH-3-048_MH-3-047,Lining,14658.116781,71.25000000000001,1.0
1,MH-1-011_MH-1-010,Lining,14519.509144,71.25,1.0
1,MH-2-002_MH-2-001,Lining,25496.745344,71.25,1.0
1,MH-2-014_MH-2-002,Lining,26273.95631,71.25,1.0
1,MH-2-015_MH-2-014,Lining,26448.810381,71.25,1.0
1,MH-2-016_MH-2-015,Lining,26426.558683,71.25,1.0
1,MH-2-019_MH-2-018,Lining,15286.080872999999,71.25,1.0
1,MH-2-020_MH-2-019,Lining,12174.16459,71.25,1.0
1,MH-2-031_MH-2-028,Lining,15057.690368,71.25,1.0
1,MH-5-052_MH-5-051,Lining,1019.4185057,71.25,1.0
1,MH-3-050_MH-3-049,Lining,2979.9171241,71.25,1.0
1,MH-3-059_MH-3-053,Lining,2296.0900466,71.24999999999999,1.0
1,MH-3-039_MH-3-038,Repair,4427.1878427,0.11973722511288595,2.851626991494654
1,MH-3-026_MH-3-025,Repair,2629.68772428,0.11455837358473826,2.8571907602698787
1,MH-3-031_MH-3-030,Repair,1683.08786574,0.08243624419644471,2.8932084604486477
1,MH-3-066_MH-3-065,Repair,9306.5316066,0.07363489054267422,2.90356219775029
1,MH-3-038_MH-3-037,Repair,5399.4235257,0.06986421759512484,2.9080661646816806
1,MH-3-025_MH-3-024,Repair,3623.0049522,0.0634976105520422,2.915766545324454
1,MH-1-002_MH-1-001,Repair,778.1000926500001,0.06294764972364741,2.9164374520483793
1,MH-3-063_MH-3-062,Repair,512.3913314399999,0.05681997758736264,2.923975645969396
1,MH-3-058_MH-3-057,Repair,2755.3100454,0.056000246539074795,2.924992935290116
1,MH-4-079_MH-4-007,Cleaning,110.3209804,0.02125262340682825,3.9017293284817574
2,MH-2-028_MH-2-027,Lining,24268.874475999997,71.25,1.0
2,MH-1-005_MH-1-004,Lining,10239.702823,71.25,1.0
2,MH-2-027_MH-2-026,Lining,13901.98859,71.25,1.0
2,MH-2-025_MH-2-024,Lining,19713.35541,71.25,1.0
2,MH-2-024_MH-2-023,Lining,16201.806396999998,71.25,1.0
2,MH-2-023_MH-2-022,Lining,13366.400061,71.25,1.0
2,MH-2-021_MH-2-020,Lining,10588.090183999999,71.25,1.0
2,MH-2-035_MH-2-034,Lining,10380.524714000001,71.25,1.0
2,MH-3-053_MH-3-052,Lining,8149.900772999999,71.25,1.0
2,MH-3-060_MH-3-059,Lining,21025.577769000003,71.25,1.0
2,MH-2-047_MH-2-046,Lining,14299.028695,71.25,1.0
2,MH-5-058_MH-5-057,Lining,6320.4170813,71.25,1.0
2,MH-3-001_MH-2-001,Lining,26644.265837,71.25,1.0
2,MH-3-022_MH-3-012,Lining,8808.35025,71.25,1.0
2,MH-2-054_MH-2-053,Lining,6421.794637999999,71.25,1.0
2,MH-1-011_MH-1-010,Cleaning,1659.3724736,0.1588572548899897,3.7484284352522077
2,MH-2-033_MH-2-032,Cleaning,2301.0685968,0.12307222897579706,3.7758662134039636
2,MH-3-059_MH-3-053,Cleaning,262.41029104,0.1154126868987683,3.7823362146935313
2,MH-2-002_MH-2-001,Cleaning,2913.9137536,0.11449410869420043,3.7831289121263634
2,MH-3-039_MH-3-038,Repair,4427.1878427,0.0905908840192881,3.1858633314560594
2,MH-2-016_MH-2-015,Cleaning,3020.1781352,0.09004304152308205,3.8057707799245906
2,MH-3-026_MH-3-025,Repair,2629.68772428,0.08634171096563525,3.1973781402355024
2,MH-3-048_MH-3-047,Cleaning,1675.2133464,0.08606616138643809,3.809779042294363
2,MH-5-052_MH-5-051,Cleaning,116.50497208,0.08411338283464645,3.811786367908425
2,MH-3-038_MH-3-037,Repair,5399.4235257,0.0756969825603918,2.818949606055473
