Year,PipeID,Action,Cost,Priority_Score,Condition_Before
1,MH-2-050_MH-2-049,Lining,9473.913112999999,71.25000000000001,1.0
1,MH-4-048_MH-4-047,Lining,417.05828227,0.0978517589120064,1.9490114789175048
2,MH-5-052_MH-5-051,Lining,1019.4185057,71.25,1.0
2,MH-3-053_MH-3-052,Lining,8149.900772999999,71.25,1.0
3,MH-5-058_MH-5-057,Lining,6320.4170813,71.25,1.0
3,MH-3-050_MH-3-049,Lining,2979.9171241,71.25,1.0
3,MH-3-039_MH-3-038,Repair,5738.9472035,0.33955182068024076,2.5276798851644493
4,MH-3-022_MH-3-012,Lining,8808.35025,71.25,1.0
4,MH-3-037_MH-3-036,Repair,3955.8418935,0.27055866363521075,2.508431967613332
5,MH-2-054_MH-2-053,Lining,6421.794637999999,71.25,1.0
5,MH-4-056_MH-4-055,Lining,3365.1855216000004,71.25,1.0
5,MH-3-040_MH-3-039,Repair,11154.002124999999,0.21734517435881448,2.5070993686767236
5,MH-3-038_MH-3-037,Repair,6999.252718500001,0.21566891073447064,2.5095890340906837
5,MH-3-067_MH-3-066,Repair,15256.4149255,0.20557382060744725,2.5248452651440685
5,MH-3-006_MH-3-005,Repair,13175.4282345,0.20509639254062506,2.5255781765701655
5,MH-3-035_MH-3-032,Repair,6253.728096,0.19429661003990112,2.5424430064240098
5,MH-3-065_MH-3-001,Repair,3575.0257724999997,0.17673468428252573,2.5711011379829904
6,MH-2-051_MH-2-035,Lining,6800.7812691,71.25,1.0
6,MH-3-059_MH-3-053,Lining,2296.0900466,71.24999999999999,1.0
6,MH-3-031_MH-3-030,Repair,2181.7805667000002,0.17985260192219749,2.5093594826384975
6,MH-3-071_MH-3-070,Repair,9688.4785725,0.17258080097267736,2.5225140411164086
6,MH-3-058_MH-3-057,Repair,3571.698207,0.17195473799610758,2.523662570211074
6,MH-3-054_MH-3-053,Repair,6595.811656,0.17082086686306025,2.5257492670835973
6,MH-3-066_MH-3-065,Repair,12064.022453,0.16939254783797678,2.5283899964494037
6,MH-3-030_MH-3-028,Repair,7741.644988,0.1613471239364322,2.543523710601168
6,MH-1-020_MH-1-016,Repair,8554.642369,0.15567679814062524,2.554463125875788
6,MH-3-063_MH-3-062,Repair,664.2109852,0.15313258755635584,2.5594476918437787
7,MH-3-028_MH-3-022,Lining,9737.228431000001,71.25,1.0
7,MH-3-004_MH-3-003,Repair,13082.961325,0.14728841025562453,2.523879809762718
7,MH-6-018_MH-6-017,Repair,6049.8320225,0.14569300955598194,2.527311165410993
7,MH-3-011_MH-3-010,Repair,7198.9498945000005,0.1403270781792058,2.53902339196422
7,MH-3-029_MH-3-028,Repair,2346.9670637,0.13853503259035688,2.5429950476621874
7,MH-3-068_MH-3-067,Repair,12490.168509,0.13832745801092883,2.5434570725959813
7,MH-3-049_MH-3-042,Repair,7724.9526865,0.13691537479555455,2.5466111526486426
7,MH-3-044_MH-3-043,Repair,4472.531889,0.13681927523397555,2.5468265061116506
7,MH-3-012_MH-3-010,Repair,11900.87598,0.13560251904871054,2.5495609778509594
7,MH-3-062_MH-3-061,Repair,4211.1633585,0.13504296010278574,2.5508233729423173
7,MH-3-010_MH-3-009,Repair,2684.25391395,0.13438918085576818,2.5523022478849597
7,MH-1-012_MH-1-011,Repair,498.18229195,0.13234230200313263,2.556959880315778
7,MH-3-026_MH-3-025,Repair,3408.8544574000002,0.1319599633838709,2.5578345444303867
7,MH-1-017_MH-1-016,Repair,527.7418937,0.12971014689102994,2.563011465194918
7,MH-1-002_MH-1-001,Repair,1008.64826825,0.1276218294402506,2.5678633835633504
8,MH-3-020_MH-3-019,Lining,4896.050894,71.25,1.0
8,MH-3-018_MH-3-017,Lining,4931.942176,71.25,1.0
8,MH-3-053_MH-3-052,Repair,4074.9503864999997,0.49926603090191585,2.4741056088776814
8,MH-4-004_MH-4-003,Repair,2116.6887938,0.4173812296937913,2.525848839757571
8,MH-1-019_MH-1-018,Repair,10659.776679999999,0.1359366496918571,2.5068720424014925
8,MH-3-064_MH-3-062,Repair,12981.303272000001,0.13569605289516307,2.5074424641840856
8,MH-1-013_MH-1-012,Repair,8206.5314765,0.13112264033871784,2.5184086273715365
8,MH-1-003_MH-1-002,Repair,5716.6366075,0.12888248840708486,2.523867243726983
8,MH-1-004_MH-1-003,Repair,7081.126058999999,0.12786715667853887,2.526360621722226
8,MH-3-002_MH-3-001,Repair,2804.74876885,0.12769709237127325,2.526779442178439
8,MH-1-021_MH-1-020,Repair,11274.36695,0.12381125965479592,2.536443480094225
8,MH-1-010_MH-1-009,Repair,3915.7367655000003,0.11795865308618368,2.5513501038042246
8,MH-3-008_MH-3-007,Repair,6929.0529175,0.11693064129233237,2.5540134592971033
8,MH-1-027_MH-1-026,Repair,2510.01812705,0.11520868884101385,2.558505580201312
8,MH-3-023_MH-3-022,Repair,1367.2900507,0.11153323459623471,2.568225959427031
9,MH-3-019_MH-3-018,Lining,5314.831666200001,71.25,1.0
9,MH-4-057_MH-4-056,Lining,3455.8652513,71.25,1.0
9,MH-2-008_MH-2-006,Repair,7986.095407499999,0.2056245559200948,2.517235665329165
9,MH-3-034_MH-3-033,Repair,6350.0636535,0.1220212841113174,2.5037131087622866
9,MH-1-008_MH-1-007,Repair,5391.867915,0.11970894802782285,2.5098761782991046
9,MH-3-003_MH-3-002,Repair,11031.066031999999,0.1191707407662989,2.5113214308842595
9,MH-1-007_MH-1-006,Repair,6523.1983040000005,0.11846374196579848,2.5132261901479116
9,MH-3-024_MH-3-023,Repair,10219.867721,0.11759094643335018,2.5155874843044335
9,MH-1-025_MH-1-023,Repair,7797.862582999999,0.11717702451650883,2.516711154929648
9,MH-1-016_MH-1-015,Repair,11230.065052499998,0.114110563317092,2.525113493406003
9,MH-3-025_MH-3-024,Repair,4696.487901,0.1138467219987275,2.525842925305606
9,MH-3-043_MH-3-042,Repair,9037.748492499999,0.11211497856847806,2.5306565432114754
10,MH-3-016_MH-3-015,Lining,7635.352109,71.25,1.0
10,MH-5-008_MH-5-007,Lining,1895.9216738,0.19387974101838393,1.5771016725541107
10,MH-5-048_MH-5-047,Repair,15257.0771045,0.40905111379820985,2.521878121011088
10,MH-3-050_MH-3-049,Repair,1489.95856205,0.4001053145861981,2.512788350716611
10,MH-5-060_MH-5-059,Repair,6554.5651535,0.3814843838446409,2.5701398587725484
10,MH-4-048_MH-4-047,Repair,208.529141135,0.3309703856461291,2.4773473029201494
10,MH-3-057_MH-3-055,Repair,10739.847601,0.11768831611533574,2.481063571737764
10,MH-3-070_MH-3-069A,Repair,11072.761378,0.11574978493766461,2.486549691382263
10,MH-1-028_MH-1-026,Repair,8911.3843385,0.11570151966125455,2.4866870482507246
10,MH-1-006_MH-1-005,Repair,7798.2719885,0.11535667907496047,2.4876695098043045
10,MH-3-051_MH-3-050,Repair,5807.334743,0.11361072340859785,2.492673328220403
10,MH-1-026_MH-1-025,Repair,11208.6115925,0.10712224249383774,2.511714266134356
11,MH-2-045_MH-2-044,Lining,8621.575543,71.25,1.0
11,MH-4-047_MH-4-046,Repair,8718.401993,0.4978991434838286,2.480405791377186
11,MH-4-043_MH-4-004,Repair,9374.308699,0.4848860247307622,2.50004541385823
11,MH-3-039_MH-3-038,Repair,5738.9472035,0.34413681380947225,2.5123777801587166
11,MH-5-058_MH-5-057,Repair,3160.20854065,0.31623347863402407,2.571464102391348
11,MH-1-009_MH-1-008,Repair,6337.206645,0.10920581088388528,2.4742475085545816
11,MH-3-055_MH-3-054,Repair,8847.6645635,0.10900092738495291,2.47487371286336
11,MH-1-018_MH-1-017,Repair,10287.671688,0.10797210621364832,2.4780300439582126
11,MH-3-046_MH-3-045,Repair,14062.1975795,0.10796323620618771,2.4780573426715127
11,MH-3-027_MH-3-025,Repair,12649.172963,0.10777205017387191,2.4786461052986333
12,MH-4-044_MH-4-043,Lining,4527.8811011,71.25,1.0
12,MH-2-067_MH-2-066,Lining,5269.2217214,71.24999999999999,1.0
12,MH-2-090_MH-2-089,Repair,8759.4274565,0.41937791971136146,2.5436489876510593
12,MH-6-002_MH-6-001,Repair,12410.826288,0.41921608097005586,2.543940768130887
12,MH-4-059_MH-4-058,Repair,6223.033344500001,0.4188293324718794,2.544638616902107
12,MH-6-012_MH-6-011,Repair,10306.3945355,0.3233813705595631,2.5582663535277073
12,MH-5-057_MH-5-056,Repair,3878.4314485,0.2953178999756735,2.5006680549493177
12,MH-3-007_MH-3-006,Repair,8212.7618055,0.10127449168876881,2.4703666920217144
12,MH-1-015_MH-1-014,Repair,6439.2063085,0.09677262035057176,2.485477060829907
12,MH-3-045_MH-3-044,Repair,5545.409177,0.09599725197299364,2.4881259383378
12,MH-3-033_MH-3-032,Repair,5265.1305315,0.08926545950246488,2.511725303411314
13,MH-5-017_MH-5-016,Lining,4840.471664,71.25,1.0
13,MH-2-052_MH-2-051,Lining,3699.5469959,71.24999999999999,1.0
13,MH-4-065_MH-4-064,Repair,5124.272734,0.36163437759656347,2.4990701616650903
13,MH-4-056_MH-4-055,Repair,1682.5927608000002,0.3503189807178229,2.512415296860113
13,MH-5-052_MH-5-051,Repair,509.70925285,0.2626725978976193,2.4948493841359167
13,MH-2-050_MH-2-049,Repair,4736.956556499999,0.22525552502408022,2.533245839858118
13,MH-4-015_MH-4-013,Repair,7295.3810300000005,0.14490585455031152,2.518825512246508
13,MH-4-082_MH-4-081,Repair,8126.2359255,0.13892076954036497,2.5390472341134815
13,MH-4-023_MH-4-022,Repair,3143.335055,0.13138508712734073,2.5711070758324324
14,MH-2-062_MH-2-061,Lining,7643.239149000001,71.25,1.0
14,MH-5-029_MH-5-028,Lining,2305.4725211,0.21231667654735606,1.4806250165162351
14,MH-4-004_MH-4-003,Repair,2116.6887938,0.4246844759598034,2.5061050780156897
14,MH-4-051_MH-4-050,Repair,4535.0680025,0.37991039832357704,2.502142328636436
14,MH-2-051_MH-2-035,Repair,3400.39063455,0.328807299972422,2.5489537872504324
14,MH-5-046_MH-5-045,Repair,8641.166296,0.28957120409225223,2.5280461780642125
14,MH-5-051_MH-5-050,Repair,4272.7493095,0.283602698633773,2.5424123391117432
14,MH-3-022_MH-3-012,Repair,4404.175125,0.2560631187720228,2.5644844992962907
14,MH-6-016_MH-6-006,Repair,14853.5811725,0.21902089291234375,2.5248007412750844
14,MH-4-009_MH-4-008,Repair,11024.246121,0.11932233602155262,2.5621361230586617
15,MH-4-055_MH-4-054,Lining,5970.7688306,71.25,1.0
15,MH-5-042_MH-5-041,Lining,3926.2526177,1.5726704853211075,1.0736566425834662
15,MH-3-053_MH-3-052,Repair,4074.9503864999997,0.4652158712457047,2.554411421792127
15,MH-5-022_MH-5-021,Repair,7402.17037,0.3570616370621463,2.496958862944869
