OBJECTID,MOID,MOTYPE,SELCODE,DSPCODE,UDFTYPE,LDMTYPE,ID,DESCRIPT,YR_INST,YR_RETIRE,ZONE,MATERIAL,LINING,COST_ID,PHASE,ID_1,LENGTH,DIAMETER,ROUGHNESS,MINORLOSS,TOTALIZER,CHK_VALVE,ID_12,DIRECTION,RUN_DIAM,RUN_LENGTH,RUN_ROUGH,FLOW,VELOCITY,HEADLOSS,HL1000,STATUS,MAX_FLOW,MIN_FLOW,AVE_FLOW,MAX_VELOC,MIN_VELOC,AVE_VELOC,MAX_HDLOSS,MIN_HDLOSS,AVE_HDLOSS,SHAPE_Length,Crtical_Xing
1,P787,0,,,,,P787,Ductile Iron,,,,,,,,P787,49.27115516,6,130,,0,0,P787,0,6,49.27,130,0,0,0,0,1,0,0,0,0,0,0,0,0,0,49.27115516,0
2,P789,0,,,,,P789,Ductile Iron,,,,,,,,P789,37.5410672,6,130,,0,0,P789,0,6,37.54,130,0,0,0,0,1,0,0,0,0,0,0,0,0,0,37.5410672,0
3,P791,0,,,,,P791,Ductile Iron,,,,,,,,P791,22.04668353,6,130,,0,0,P791,0,6,22.05,130,0,0,0,0,1,0,0,0,0,0,0,0,0,0,22.04668353,0
4,P793,0,,,,,P793,Ductile Iron,,,,,,,,P793,25.52698036,6,130,,0,0,P793,0,6,25.53,130,0,0,0,0,1,0,0,0,0,0,0,0,0,0,25.52698036,0
5,P795,0,,,,,P795,Ductile Iron,,,,,,,,P795,30.26104654,6,130,,0,0,P795,0,6,30.26,130,0,0,0,0,1,0,0,0,0,0,0,0,0,0,30.26104654,0
6,P797,0,,,,,P797,Ductile Iron,,,,,,,,P797,28.80056268,6,130,,0,0,P797,0,6,28.8,130,0,0,0,0,1,0,0,0,0,0,0,0,0,0,28.80056268,0
7,P799,0,,,,,P799,Ductile Iron,,,,,,,,P799,29.68609279,6,130,,0,0,P799,0,6,29.69,130,0,0,0,0,1,0,0,0,0,0,0,0,0,0,29.68609279,0
8,P801,0,,,,,P801,Ductile Iron,,,,,,,,P801,23.9802349,6,130,,0,0,P801,0,6,23.98,130,0,0,0,0,1,0,0,0,0,0,0,0,0,0,23.9802349,0
9,P803,0,,,,,P803,Ductile Iron,,,,,,,,P803,169.1278993,6,130,,0,0,P803,0,6,169.13,130,0,0,0,0,1,0,0,0,0,0,0,0,0,0,169.1278993,0
10,P805,0,,,,,P805,Ductile Iron,,,,,,,,P805,14.14405692,6,130,,0,0,P805,0,6,14.14,130,0,0,0,0,1,0,0,0,0,0,0,0,0,0,14.14405692,0
